Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		30
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_LOC		137
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		74
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		78
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_COUNT		0
